STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,Reference area,MEASURE,Measure,UNIT_MEASURE,Unit of measure,SEX,Sex,AGE,Age,LABOUR_FORCE_STATUS,Labour force status,TIME_PERIOD,Time period,OBS_VALUE,Observation value,OBS_STATUS,Observation status,UNIT_MULT,Unit multiplier,DECIMALS,Decimals
DATAFLOW,OECD.ELS.SAE:DSD_LFS@DF_LFS_INDIC(1.1),Employment and unemployment by five-year age group and sex - indicators,I,LUX,Luxembourg,EMP_RATIO,Employment to population ratio,PT_POP_SUB,Percentage of population in the same subgroup,_T,Total,_T,Total,EMP,Employment,1994,,60.1639296039447,,A,Normal value,,,1,One
DATAFLOW,OECD.ELS.SAE:DSD_LFS@DF_LFS_INDIC(1.1),Employment and unemployment by five-year age group and sex - indicators,I,LUX,Luxembourg,EMP_RATIO,Employment to population ratio,PT_POP_SUB,Percentage of population in the same subgroup,_T,Total,_T,Total,EMP,Employment,1993,,60.9433734887279,,A,Normal value,,,1,One
DATAFLOW,OECD.ELS.SAE:DSD_LFS@DF_LFS_INDIC(1.1),Employment and unemployment by five-year age group and sex - indicators,I,LUX,Luxembourg,EMP_RATIO,Employment to population ratio,PT_POP_SUB,Percentage of population in the same subgroup,_T,Total,_T,Total,EMP,Employment,1992,,61.495221190935,,A,Normal value,,,1,One
DATAFLOW,OECD.ELS.SAE:DSD_LFS@DF_LFS_INDIC(1.1),Employment and unemployment by five-year age group and sex - indicators,I,LUX,Luxembourg,EMP_RATIO,Employment to population ratio,PT_POP_SUB,Percentage of population in the same subgroup,_T,Total,_T,Total,EMP,Employment,1991,,60.7764593705536,,A,Normal value,,,1,One
DATAFLOW,OECD.ELS.SAE:DSD_LFS@DF_LFS_INDIC(1.1),Employment and unemployment by five-year age group and sex - indicators,I,LUX,Luxembourg,EMP_RATIO,Employment to population ratio,PT_POP_SUB,Percentage of population in the same subgroup,_T,Total,_T,Total,EMP,Employment,2023,,59.017,,,,,,1,One
DATAFLOW,OECD.ELS.SAE:DSD_LFS@DF_LFS_INDIC(1.1),Employment and unemployment by five-year age group and sex - indicators,I,LUX,Luxembourg,EMP_RATIO,Employment to population ratio,PT_POP_SUB,Percentage of population in the same subgroup,_T,Total,_T,Total,EMP,Employment,2022,,58.741,,A,Normal value,,,1,One
DATAFLOW,OECD.ELS.SAE:DSD_LFS@DF_LFS_INDIC(1.1),Employment and unemployment by five-year age group and sex - indicators,I,LUX,Luxembourg,EMP_RATIO,Employment to population ratio,PT_POP_SUB,Percentage of population in the same subgroup,_T,Total,_T,Total,EMP,Employment,2021,,58.675,,A,Normal value,,,1,One
DATAFLOW,OECD.ELS.SAE:DSD_LFS@DF_LFS_INDIC(1.1),Employment and unemployment by five-year age group and sex - indicators,I,LUX,Luxembourg,EMP_RATIO,Employment to population ratio,PT_POP_SUB,Percentage of population in the same subgroup,_T,Total,_T,Total,EMP,Employment,2020,,56.685,,A,Normal value,,,1,One
DATAFLOW,OECD.ELS.SAE:DSD_LFS@DF_LFS_INDIC(1.1),Employment and unemployment by five-year age group and sex - indicators,I,LUX,Luxembourg,EMP_RATIO,Employment to population ratio,PT_POP_SUB,Percentage of population in the same subgroup,_T,Total,_T,Total,EMP,Employment,2019,,57.253,,A,Normal value,,,1,One
DATAFLOW,OECD.ELS.SAE:DSD_LFS@DF_LFS_INDIC(1.1),Employment and unemployment by five-year age group and sex - indicators,I,LUX,Luxembourg,EMP_RATIO,Employment to population ratio,PT_POP_SUB,Percentage of population in the same subgroup,_T,Total,_T,Total,EMP,Employment,2018,,56.54,,A,Normal value,,,1,One
DATAFLOW,OECD.ELS.SAE:DSD_LFS@DF_LFS_INDIC(1.1),Employment and unemployment by five-year age group and sex - indicators,I,LUX,Luxembourg,EMP_RATIO,Employment to population ratio,PT_POP_SUB,Percentage of population in the same subgroup,_T,Total,_T,Total,EMP,Employment,2017,,56.032,,A,Normal value,,,1,One
DATAFLOW,OECD.ELS.SAE:DSD_LFS@DF_LFS_INDIC(1.1),Employment and unemployment by five-year age group and sex - indicators,I,LUX,Luxembourg,EMP_RATIO,Employment to population ratio,PT_POP_SUB,Percentage of population in the same subgroup,_T,Total,_T,Total,EMP,Employment,2016,,55.202,,A,Normal value,,,1,One
DATAFLOW,OECD.ELS.SAE:DSD_LFS@DF_LFS_INDIC(1.1),Employment and unemployment by five-year age group and sex - indicators,I,LUX,Luxembourg,EMP_RATIO,Employment to population ratio,PT_POP_SUB,Percentage of population in the same subgroup,_T,Total,_T,Total,EMP,Employment,2015,,55.978,,A,Normal value,,,1,One
DATAFLOW,OECD.ELS.SAE:DSD_LFS@DF_LFS_INDIC(1.1),Employment and unemployment by five-year age group and sex - indicators,I,LUX,Luxembourg,EMP_RATIO,Employment to population ratio,PT_POP_SUB,Percentage of population in the same subgroup,_T,Total,_T,Total,EMP,Employment,2014,,56.563,,A,Normal value,,,1,One
DATAFLOW,OECD.ELS.SAE:DSD_LFS@DF_LFS_INDIC(1.1),Employment and unemployment by five-year age group and sex - indicators,I,LUX,Luxembourg,EMP_RATIO,Employment to population ratio,PT_POP_SUB,Percentage of population in the same subgroup,_T,Total,_T,Total,EMP,Employment,2013,,55.916,,A,Normal value,,,1,One
DATAFLOW,OECD.ELS.SAE:DSD_LFS@DF_LFS_INDIC(1.1),Employment and unemployment by five-year age group and sex - indicators,I,LUX,Luxembourg,EMP_RATIO,Employment to population ratio,PT_POP_SUB,Percentage of population in the same subgroup,_T,Total,_T,Total,EMP,Employment,2012,,55.727,,A,Normal value,,,1,One
DATAFLOW,OECD.ELS.SAE:DSD_LFS@DF_LFS_INDIC(1.1),Employment and unemployment by five-year age group and sex - indicators,I,LUX,Luxembourg,EMP_RATIO,Employment to population ratio,PT_POP_SUB,Percentage of population in the same subgroup,_T,Total,_T,Total,EMP,Employment,2011,,54.766,,A,Normal value,,,1,One
DATAFLOW,OECD.ELS.SAE:DSD_LFS@DF_LFS_INDIC(1.1),Employment and unemployment by five-year age group and sex - indicators,I,LUX,Luxembourg,EMP_RATIO,Employment to population ratio,PT_POP_SUB,Percentage of population in the same subgroup,_T,Total,_T,Total,EMP,Employment,2010,,55.183,,A,Normal value,,,1,One
DATAFLOW,OECD.ELS.SAE:DSD_LFS@DF_LFS_INDIC(1.1),Employment and unemployment by five-year age group and sex - indicators,I,NOR,Norway,EMP_RATIO,Employment to population ratio,PT_POP_SUB,Percentage of population in the same subgroup,_T,Total,_T,Total,EMP,Employment,1997,,69.6796701554075,,A,Normal value,,,1,One
DATAFLOW,OECD.ELS.SAE:DSD_LFS@DF_LFS_INDIC(1.1),Employment and unemployment by five-year age group and sex - indicators,I,NOR,Norway,EMP_RATIO,Employment to population ratio,PT_POP_SUB,Percentage of population in the same subgroup,_T,Total,_T,Total,EMP,Employment,1979,,64.068376068376,,A,Normal value,,,1,One
DATAFLOW,OECD.ELS.SAE:DSD_LFS@DF_LFS_INDIC(1.1),Employment and unemployment by five-year age group and sex - indicators,I,NOR,Norway,EMP_RATIO,Employment to population ratio,PT_POP_SUB,Percentage of population in the same subgroup,_T,Total,_T,Total,EMP,Employment,1978,,63.7302133516861,,A,Normal value,,,1,One
DATAFLOW,OECD.ELS.SAE:DSD_LFS@DF_LFS_INDIC(1.1),Employment and unemployment by five-year age group and sex - indicators,I,NOR,Norway,EMP_RATIO,Employment to population ratio,PT_POP_SUB,Percentage of population in the same subgroup,_T,Total,_T,Total,EMP,Employment,1977,,63.2986111111111,,A,Normal value,,,1,One
DATAFLOW,OECD.ELS.SAE:DSD_LFS@DF_LFS_INDIC(1.1),Employment and unemployment by five-year age group and sex - indicators,I,NOR,Norway,EMP_RATIO,Employment to population ratio,PT_POP_SUB,Percentage of population in the same subgroup,_T,Total,_T,Total,EMP,Employment,1976,,62.4388539482879,,A,Normal value,,,1,One
DATAFLOW,OECD.ELS.SAE:DSD_LFS@DF_LFS_INDIC(1.1),Employment and unemployment by five-year age group and sex - indicators,I,NOR,Norway,EMP_RATIO,Employment to population ratio,PT_POP_SUB,Percentage of population in the same subgroup,_T,Total,_T,Total,EMP,Employment,1975,,59.9508599508599,,A,Normal value,,,1,One
DATAFLOW,OECD.ELS.SAE:DSD_LFS@DF_LFS_INDIC(1.1),Employment and unemployment by five-year age group and sex - indicators,I,NOR,Norway,EMP_RATIO,Employment to population ratio,PT_POP_SUB,Percentage of population in the same subgroup,_T,Total,_T,Total,EMP,Employment,1974,,59.9493487698987,,A,Normal value,,,1,One
DATAFLOW,OECD.ELS.SAE:DSD_LFS@DF_LFS_INDIC(1.1),Employment and unemployment by five-year age group and sex - indicators,I,NOR,Norway,EMP_RATIO,Employment to population ratio,PT_POP_SUB,Percentage of population in the same subgroup,_T,Total,_T,Total,EMP,Employment,1973,,60.3353991979584,,A,Normal value,,,1,One
DATAFLOW,OECD.ELS.SAE:DSD_LFS@DF_LFS_INDIC(1.1),Employment and unemployment by five-year age group and sex - indicators,I,NOR,Norway,EMP_RATIO,Employment to population ratio,PT_POP_SUB,Percentage of population in the same subgroup,_T,Total,_T,Total,EMP,Employment,1972,,60.2484472049689,,A,Normal value,,,1,One
DATAFLOW,OECD.ELS.SAE:DSD_LFS@DF_LFS_INDIC(1.1),Employment and unemployment by five-year age group and sex - indicators,I,NOR,Norway,EMP_RATIO,Employment to population ratio,PT_POP_SUB,Percentage of population in the same subgroup,_T,Total,_T,Total,EMP,Employment,1996,,67.687420584498,,A,Normal value,,,1,One
DATAFLOW,OECD.ELS.SAE:DSD_LFS@DF_LFS_INDIC(1.1),Employment and unemployment by five-year age group and sex - indicators,I,NOR,Norway,EMP_RATIO,Employment to population ratio,PT_POP_SUB,Percentage of population in the same subgroup,_T,Total,_T,Total,EMP,Employment,1995,,66.2312838483593,,A,Normal value,,,1,One
DATAFLOW,OECD.ELS.SAE:DSD_LFS@DF_LFS_INDIC(1.1),Employment and unemployment by five-year age group and sex - indicators,I,NOR,Norway,EMP_RATIO,Employment to population ratio,PT_POP_SUB,Percentage of population in the same subgroup,_T,Total,_T,Total,EMP,Employment,1994,,64.8502230720203,,A,Normal value,,,1,One
DATAFLOW,OECD.ELS.SAE:DSD_LFS@DF_LFS_INDIC(1.1),Employment and unemployment by five-year age group and sex - indicators,I,NOR,Norway,EMP_RATIO,Employment to population ratio,PT_POP_SUB,Percentage of population in the same subgroup,_T,Total,_T,Total,EMP,Employment,1993,,64.043506078055,,A,Normal value,,,1,One
DATAFLOW,OECD.ELS.SAE:DSD_LFS@DF_LFS_INDIC(1.1),Employment and unemployment by five-year age group and sex - indicators,I,NOR,Norway,EMP_RATIO,Employment to population ratio,PT_POP_SUB,Percentage of population in the same subgroup,_T,Total,_T,Total,EMP,Employment,1992,,64.3567532884183,,A,Normal value,,,1,One
DATAFLOW,OECD.ELS.SAE:DSD_LFS@DF_LFS_INDIC(1.1),Employment and unemployment by five-year age group and sex - indicators,I,NOR,Norway,EMP_RATIO,Employment to population ratio,PT_POP_SUB,Percentage of population in the same subgroup,_T,Total,_T,Total,EMP,Employment,1991,,64.7778493238892,,A,Normal value,,,1,One
DATAFLOW,OECD.ELS.SAE:DSD_LFS@DF_LFS_INDIC(1.1),Employment and unemployment by five-year age group and sex - indicators,I,NOR,Norway,EMP_RATIO,Employment to population ratio,PT_POP_SUB,Percentage of population in the same subgroup,_T,Total,_T,Total,EMP,Employment,1990,,65.8150064683052,,A,Normal value,,,1,One
DATAFLOW,OECD.ELS.SAE:DSD_LFS@DF_LFS_INDIC(1.1),Employment and unemployment by five-year age group and sex - indicators,I,NOR,Norway,EMP_RATIO,Employment to population ratio,PT_POP_SUB,Percentage of population in the same subgroup,_T,Total,_T,Total,EMP,Employment,1989,,66.4938431626701,,A,Normal value,,,1,One
DATAFLOW,OECD.ELS.SAE:DSD_LFS@DF_LFS_INDIC(1.1),Employment and unemployment by five-year age group and sex - indicators,I,NOR,Norway,EMP_RATIO,Employment to population ratio,PT_POP_SUB,Percentage of population in the same subgroup,_T,Total,_T,Total,EMP,Employment,1988,,68.957654723127,,A,Normal value,,,1,One
DATAFLOW,OECD.ELS.SAE:DSD_LFS@DF_LFS_INDIC(1.1),Employment and unemployment by five-year age group and sex - indicators,I,NOR,Norway,EMP_RATIO,Employment to population ratio,PT_POP_SUB,Percentage of population in the same subgroup,_T,Total,_T,Total,EMP,Employment,1987,,70.3703703703703,,A,Normal value,,,1,One
DATAFLOW,OECD.ELS.SAE:DSD_LFS@DF_LFS_INDIC(1.1),Employment and unemployment by five-year age group and sex - indicators,I,NOR,Norway,EMP_RATIO,Employment to population ratio,PT_POP_SUB,Percentage of population in the same subgroup,_T,Total,_T,Total,EMP,Employment,1986,,69.482470784641,,A,Normal value,,,1,One
DATAFLOW,OECD.ELS.SAE:DSD_LFS@DF_LFS_INDIC(1.1),Employment and unemployment by five-year age group and sex - indicators,I,NOR,Norway,EMP_RATIO,Employment to population ratio,PT_POP_SUB,Percentage of population in the same subgroup,_T,Total,_T,Total,EMP,Employment,1985,,67.6747311827956,,A,Normal value,,,1,One
DATAFLOW,OECD.ELS.SAE:DSD_LFS@DF_LFS_INDIC(1.1),Employment and unemployment by five-year age group and sex - indicators,I,NOR,Norway,EMP_RATIO,Employment to population ratio,PT_POP_SUB,Percentage of population in the same subgroup,_T,Total,_T,Total,EMP,Employment,1984,,66.984667802385,,A,Normal value,,,1,One
DATAFLOW,OECD.ELS.SAE:DSD_LFS@DF_LFS_INDIC(1.1),Employment and unemployment by five-year age group and sex - indicators,I,NOR,Norway,EMP_RATIO,Employment to population ratio,PT_POP_SUB,Percentage of population in the same subgroup,_T,Total,_T,Total,EMP,Employment,1983,,66.6552433173406,,A,Normal value,,,1,One
DATAFLOW,OECD.ELS.SAE:DSD_LFS@DF_LFS_INDIC(1.1),Employment and unemployment by five-year age group and sex - indicators,I,NOR,Norway,EMP_RATIO,Employment to population ratio,PT_POP_SUB,Percentage of population in the same subgroup,_T,Total,_T,Total,EMP,Employment,1982,,65.6746702739262,,A,Normal value,,,1,One
DATAFLOW,OECD.ELS.SAE:DSD_LFS@DF_LFS_INDIC(1.1),Employment and unemployment by five-year age group and sex - indicators,I,NOR,Norway,EMP_RATIO,Employment to population ratio,PT_POP_SUB,Percentage of population in the same subgroup,_T,Total,_T,Total,EMP,Employment,1981,,66.2203913491246,,A,Normal value,,,1,One
DATAFLOW,OECD.ELS.SAE:DSD_LFS@DF_LFS_INDIC(1.1),Employment and unemployment by five-year age group and sex - indicators,I,NOR,Norway,EMP_RATIO,Employment to population ratio,PT_POP_SUB,Percentage of population in the same subgroup,_T,Total,_T,Total,EMP,Employment,1980,,65.9972299168975,,A,Normal value,,,1,One
DATAFLOW,OECD.ELS.SAE:DSD_LFS@DF_LFS_INDIC(1.1),Employment and unemployment by five-year age group and sex - indicators,I,NOR,Norway,EMP_RATIO,Employment to population ratio,PT_POP_SUB,Percentage of population in the same subgroup,_T,Total,_T,Total,EMP,Employment,2023,,63.33,,,,,,1,One
DATAFLOW,OECD.ELS.SAE:DSD_LFS@DF_LFS_INDIC(1.1),Employment and unemployment by five-year age group and sex - indicators,I,NOR,Norway,EMP_RATIO,Employment to population ratio,PT_POP_SUB,Percentage of population in the same subgroup,_T,Total,_T,Total,EMP,Employment,2022,,63.947,,A,Normal value,,,1,One
DATAFLOW,OECD.ELS.SAE:DSD_LFS@DF_LFS_INDIC(1.1),Employment and unemployment by five-year age group and sex - indicators,I,NOR,Norway,EMP_RATIO,Employment to population ratio,PT_POP_SUB,Percentage of population in the same subgroup,_T,Total,_T,Total,EMP,Employment,2021,,62.927,,A,Normal value,,,1,One
DATAFLOW,OECD.ELS.SAE:DSD_LFS@DF_LFS_INDIC(1.1),Employment and unemployment by five-year age group and sex - indicators,I,NOR,Norway,EMP_RATIO,Employment to population ratio,PT_POP_SUB,Percentage of population in the same subgroup,_T,Total,_T,Total,EMP,Employment,2020,,61.011,,A,Normal value,,,1,One
DATAFLOW,OECD.ELS.SAE:DSD_LFS@DF_LFS_INDIC(1.1),Employment and unemployment by five-year age group and sex - indicators,I,NOR,Norway,EMP_RATIO,Employment to population ratio,PT_POP_SUB,Percentage of population in the same subgroup,_T,Total,_T,Total,EMP,Employment,2019,,61.817,,A,Normal value,,,1,One
DATAFLOW,OECD.ELS.SAE:DSD_LFS@DF_LFS_INDIC(1.1),Employment and unemployment by five-year age group and sex - indicators,I,NOR,Norway,EMP_RATIO,Employment to population ratio,PT_POP_SUB,Percentage of population in the same subgroup,_T,Total,_T,Total,EMP,Employment,2018,,61.679,,A,Normal value,,,1,One
DATAFLOW,OECD.ELS.SAE:DSD_LFS@DF_LFS_INDIC(1.1),Employment and unemployment by five-year age group and sex - indicators,I,NOR,Norway,EMP_RATIO,Employment to population ratio,PT_POP_SUB,Percentage of population in the same subgroup,_T,Total,_T,Total,EMP,Employment,2017,,61.076,,A,Normal value,,,1,One
DATAFLOW,OECD.ELS.SAE:DSD_LFS@DF_LFS_INDIC(1.1),Employment and unemployment by five-year age group and sex - indicators,I,NOR,Norway,EMP_RATIO,Employment to population ratio,PT_POP_SUB,Percentage of population in the same subgroup,_T,Total,_T,Total,EMP,Employment,2016,,61.499,,A,Normal value,,,1,One
DATAFLOW,OECD.ELS.SAE:DSD_LFS@DF_LFS_INDIC(1.1),Employment and unemployment by five-year age group and sex - indicators,I,NOR,Norway,EMP_RATIO,Employment to population ratio,PT_POP_SUB,Percentage of population in the same subgroup,_T,Total,_T,Total,EMP,Employment,2015,,62.187,,A,Normal value,,,1,One
DATAFLOW,OECD.ELS.SAE:DSD_LFS@DF_LFS_INDIC(1.1),Employment and unemployment by five-year age group and sex - indicators,I,NOR,Norway,EMP_RATIO,Employment to population ratio,PT_POP_SUB,Percentage of population in the same subgroup,_T,Total,_T,Total,EMP,Employment,2014,,62.596,,A,Normal value,,,1,One
DATAFLOW,OECD.ELS.SAE:DSD_LFS@DF_LFS_INDIC(1.1),Employment and unemployment by five-year age group and sex - indicators,I,NOR,Norway,EMP_RATIO,Employment to population ratio,PT_POP_SUB,Percentage of population in the same subgroup,_T,Total,_T,Total,EMP,Employment,2013,,68.643,,A,Normal value,,,1,One
DATAFLOW,OECD.ELS.SAE:DSD_LFS@DF_LFS_INDIC(1.1),Employment and unemployment by five-year age group and sex - indicators,I,NOR,Norway,EMP_RATIO,Employment to population ratio,PT_POP_SUB,Percentage of population in the same subgroup,_T,Total,_T,Total,EMP,Employment,2012,,69.185,,A,Normal value,,,1,One
DATAFLOW,OECD.ELS.SAE:DSD_LFS@DF_LFS_INDIC(1.1),Employment and unemployment by five-year age group and sex - indicators,I,NOR,Norway,EMP_RATIO,Employment to population ratio,PT_POP_SUB,Percentage of population in the same subgroup,_T,Total,_T,Total,EMP,Employment,2011,,69.036,,A,Normal value,,,1,One
DATAFLOW,OECD.ELS.SAE:DSD_LFS@DF_LFS_INDIC(1.1),Employment and unemployment by five-year age group and sex - indicators,I,NOR,Norway,EMP_RATIO,Employment to population ratio,PT_POP_SUB,Percentage of population in the same subgroup,_T,Total,_T,Total,EMP,Employment,2010,,69.269,,A,Normal value,,,1,One
DATAFLOW,OECD.ELS.SAE:DSD_LFS@DF_LFS_INDIC(1.1),Employment and unemployment by five-year age group and sex - indicators,I,NOR,Norway,EMP_RATIO,Employment to population ratio,PT_POP_SUB,Percentage of population in the same subgroup,_T,Total,_T,Total,EMP,Employment,2009,,70.391,,A,Normal value,,,1,One
DATAFLOW,OECD.ELS.SAE:DSD_LFS@DF_LFS_INDIC(1.1),Employment and unemployment by five-year age group and sex - indicators,I,NOR,Norway,EMP_RATIO,Employment to population ratio,PT_POP_SUB,Percentage of population in the same subgroup,_T,Total,_T,Total,EMP,Employment,2008,,71.8954652298393,,A,Normal value,,,1,One
DATAFLOW,OECD.ELS.SAE:DSD_LFS@DF_LFS_INDIC(1.1),Employment and unemployment by five-year age group and sex - indicators,I,NOR,Norway,EMP_RATIO,Employment to population ratio,PT_POP_SUB,Percentage of population in the same subgroup,_T,Total,_T,Total,EMP,Employment,2007,,70.8279222894121,,A,Normal value,,,1,One
